,会社名,対象,初年度年収
0,日鉄ソリューションズ株式会社 | 【東証一部上場/ユーザー系SIer】◎リモートワーク実施,◆IT業界での営業経験（SIer営業やSES営業の経験者歓迎）《男女ともに活躍中！産休育休の取得・復帰実績も多数あります！》,480万円～710万円
1,株式会社スタッフサービス | 在宅あり★服装自由・ネイルOKも選べる★土日祝休み,【未経験・第二新卒の方、大歓迎！事務デビューを応援します】「大手企業で働いてみたい」「残業少なめ・土日休みで探したい」という方歓迎です！,200万円～400万円
2,株式会社KMユナイテッド | 完休2日制＊学歴・性別不問【大阪府緊急雇用対策に賛同】,【学歴・性別不問】CADスキルさえあればOK!!業界・職種未経験の方も大歓迎です!!,240万円～480万円
3,株式会社大成社 | 年収平均80万UP／Java 3年経験者：月給例48.75万／年収例585万,★何らかのシステム開発経験もしくはITインフラの実務経験（運用・保守以上）がある方,430万円～1100万円
4,株式会社ココロザシ | 年間休日130日/定着率100％/希望の案件にアサイン,【学歴・年齢不問】◆開発経験を3年以上お持ちの方◎あなたのどんな思いも受け止めます※どんなスキル＆フェーズで働きたいかお気軽にご相談下さい,420万円～1000万円
5,株式会社イノベクトリー | 実力派ITベンチャー企業。Made In Japanの技術を世界へ発信！,《　時間・環境に縛られたくない方へ　》INNOVACTORYで圧倒的な自由と対価を掴みませんか。　※未経験・ブランクがある方歓迎！,450万円～800万円
6,豊ハイテック株式会社 | 【 トヨタグループ｜ジェイテクト100％出資 】,《 要SE/PGとしての経験、専門・短大卒以上 》■WEBオープン系に挑戦したい方を歓迎！,450万円～850万円
7,株式会社クリーク・アンド・リバー社 | 東証一部上場◆完週休二日◆正社員登用有◆リモートワーク実施中,【学歴不問・第二新卒歓迎】◆ゲーム業界での2Dデザインの実務経験◆Illustrator・Photoshopの使用スキル★自分だけのキャリアを見つけたい方はぜひ！,300万円～600万円
8,"グッドルーム株式会社 | ""good""な住まいをプロデュース＊在宅勤務可＊東証マザーズ上場",＜学歴・資格不問／完全ポテンシャル採用＞リノベーション事業に興味のある方・当社のビジョンに共感いただける方＊20代～30代活躍中！,350万円～600万円
9,株式会社エー・エス・エル | 《東証一部上場企業グループ》コロナ禍でも過去最高益レベル！,《複数名採用予定！》◎学歴不問 ◎ITエンジニアとしての何らかの実務経験（システム・インフラ不問）★転職回数やブランク等も不問です！,400万円～800万円
10,株式会社アズールドットネット | ★大手SIer直請けの大規模案件中心★ほぼリモート勤務です！,★学歴・性別・年齢不問 ★クラウドの経験者も、これからクラウド技術を学んでいきたい方も歓迎します！,450万円～900万円
11,株式会社三協技術 | ★年間休日120日(土日祝)/リモートワークも可/9割が官公庁案件★,■建設コンサルタント会社で設計を行っていた方は大歓迎！★長く活躍できる専門スキルを身につけられます,
12,ケイティケイ株式会社 | ≪大阪・福岡 積極採用中≫ ★JASDAQ上場 ★賞与実績4.4か月分,◆経験・学歴不問！要普免（AT限定可）／何かしらの営業経験がある方◆何事も前向きに取り組める方からのご応募をお待ちしています。,
13,HITOWAライフパートナー株式会社 | 全国募集★自宅開業OK★転勤なし◎未経験歓迎！学歴・スキル不問,経験・学歴不問／未経験歓迎◆要自普免(AT限定可)◆95％以上が未経験からスタート！自宅で1人から開業でき、技術を身につけ生涯活躍できます！,
14,株式会社東急コミュニティー | 大阪府緊急雇用対策に賛同/健康経営優良法人2021ホワイト500認定,【第二新卒も歓迎★若手社員も活躍中】■高卒以上■総合建設会社での3年以上の施工管理経験者 ◆意欲があれば3年未満の経験者も歓迎♪WEB面接実施中！,350万円～600万円
15,株式会社アイティープロデュース | 転勤なし◎残業は月平均7時間◎有休取得…平均10日間◎服装自由,【UIターン歓迎！学歴不問】◆システム開発経験をお持ちの方（Java／Ruby／C#／VB）★在宅ワークOK ★PLやPMへのキャリアアップも目指せます,300万円～550万円
16,株式会社デザインコーポレーション | コロナ渦でも負けないビジネスモデル！！！,【応募条件：組織を良くするために自ら動ける方、ルールを守って正しいことを継続できる方、新たなビジネスモデルに挑戦したい方】,360万円～600万円
17,株式会社ヤスナ設計工房 | ＜創立59年／全国7拠点＞「健康経営優良法人」に認定｜賞与年3回,【高い社員定着率を記録】◆第二新卒歓迎 ◆専修学校・高等専門学校卒以上 ◆機械設計の経験がある方 ※Web面接もOK。お気軽にご相談ください,400万円～650万円
18,株式会社スタッフサービス | ＜実績No.1＞☆充実のサポート制度♪お休みたっぷり年間125日◎,【経験不問♪研修でしっかり学べるから未経験の方でも安心！】年間休日125日＆有休でプライベートも充実♪育休取得率100％★20代の女性が活躍中！,250万円～350万円
19,ＳＯＭＰＯひまわり生命保険株式会社 | ★土日祝＋安心の固定給 ★テレワークも可能★3年間の研修制度,<高卒以上・年齢不問> ★ライフカウンセラーは保険業界「未経験」だった人がほとんど！専属のトレーニングマネージャーがサポートします。,350万円～600万円
20,株式会社アレン | ＜５年連続金賞受賞！プロが認める商品力＞★子育て世代も活躍中,《 要普通免許｜年齢不問 》★美容関連の経験（メーカー、ディーラー、エステティシャン、美容師、化粧品販売員等）や営業経験者を優遇します！,
21,株式会社ミックウェア | ★ホンダやトヨタのパートナーとして最先端技術を駆使！,【専門学卒以上】◎組込み／制御系、Web系ソフトウェアの開発経験者 ★20代で年収800万円以上を実現しているメンバーも！利益を社員に還元します。,400万円～1000万円
22,株式会社夢テクノロジー | 未経験からキャリアアップできる会社No.1(※)／リモートワーク可,◆キャリアアップしていきたい方★人や社会の役に立ちたい方★将来を見据えて手に職を付けたい方【研修中に資格取得を目指して学びます】◆高卒以上◆,250万円～400万円
23,株式会社インフラトップ | 【DMM.comグループ】テレワークOK/フレックス勤務/残業月20h,【20代活躍中】◎人材業界での営業やキャリアアドバイザー経験あれば優遇します★IT・Webマーケの知識等は入社前に一切不問です！,300万円～500万円
24,株式会社INCEPTION | 完全週休2日制 | ベンチャーならではのスピード感で柔軟に評価,「会社の中心メンバーとして働きたい」など、熱意をお持ちの方 ◆学歴不問 ◆社会人未経験・第二新卒（2021卒もOK）大歓迎！経験者は優遇します！,350万円～500万円
25,株式会社クラフト | 年休124日|リモートワーク中心|賞与年4カ月|産休育休実績あり,【年齢・言語不問】◆ソフトウェア開発又はサーバ/ネットワークの構築スキルをお持ちの方☆独学で学んだ実務未経験者もご応募可能！,330万円～850万円
26,株式会社三恵 | 【 技術継承＆教育に力を入れています 】■資格取得支援あり,《 未経験者歓迎 》◆応募条件 ⇒ ◎経験・性別・年齢不問 ◎要普免(AT可) ◎真面目にコツコツと働くことができる方 ※経験者は優遇！,300万円～600万円
27,株式会社アカリエ | 2021年8月2日～社名がアカリエに変わりました！,【経験年数・言語・担当工程なども不問】　◎要IT業界で何らかの実務経験をお持ちの方　◆年間休日121日！　◆リフレッシュ休暇制度（2年目～）,360万円～780万円
28,株式会社リクルートスタッフィング | 大手&有名企業等で理想の働き方を★在宅ワーク実施中/土日祝休み,【高卒以上】★*. 20代活躍中！産休・育休取得率&復職率100% .*「ありがとう」の言葉がやりがいに繋がる方にはピッタリのお仕事♪《ネイルもOK★》,250万円～350万円
29,株式会社リクルートスタッフィング | キャリアウィンク★有名＆安定企業で働ける♪在宅ワークも実施中,★*. 20代活躍中！産休・育休取得率&復職率100% .*《第二新卒・未経験歓迎》「ありがとう」の言葉がやりがいに繋がる方にはピッタリのお仕事♪,250万円～350万円
30,ヤフー株式会社 | 日本最大級のユーザー数を誇る「Yahoo! JAPAN」,【未経験者歓迎★20代が多数活躍中】意欲重視の採用です！充実した研修があるので、経験がなくても安心して挑戦できる環境です♪,
31,株式会社ジョブサポート | ★2500名のSE育成実績あり／完全週休2日制(土日)・残業少なめ★,《未経験・第二新卒大歓迎♪》◎高卒以上・性別・経験不問 ◎30歳以下の方(若年層の長期キャリア形成を図るため) ★スキル＆キャリアUPしたい方歓迎！,250万円～550万円
32,株式会社リクルート | 旅行領域★年間休日145日／好きを活かせる仕事【正社員採用】,＜第二新卒大歓迎＞★自ら考え、動くことができる人や常に成長意欲がある方を歓迎します！※販売・飲食・IT・製造など前職は幅広い先輩が活躍中！,379万円～462万円
33,株式会社ウエストネット・テクノロジー | ★引越し手当10万円＋入社祝金10万円★社員寮あり★年休130日,【性別・年齢・学歴など不問！】◆インフラエンジニアの経験者 ⇒設計・構築いずれかの経験2年以上の方 ★残業ほぼなし ★半数以上がリモートワーク,400万円～800万円
34,インプレイス株式会社 | 《Palo Alto Networks社 公式パートナー》◆残業ほぼなし,テクニカルサポートや開発など、IT業界で何らかの実務経験をお持ちの方。★ネットワーク製品の経験者は歓迎！,480万円～820万円
35,株式会社リクルートスタッフィング | 産休・育休取得率&復職率100% ◆土日祝休み♪在宅ワークも実施中,<第二新卒・既卒・未経験歓迎！>◆3日間の配属前研修あり☆頑張りがしっかり評価されるため、モチベーションもUP！あなたに合った職場で働ける♪,250万円～350万円
36,BCC株式会社 | 2021年7月、東証マザーズへ上場◆残業月10～20H◆年休120日以上,【人柄重視の採用＆学歴不問】◆35歳までの方◆未経験・第二新卒・正社員デビューの方も大歓迎★将来性バツグンのIT業界で働きたい方はぜひ！,250万円～350万円
37,株式会社ウィルオブ・コンストラクション | ─◆東証一部上場ウィルグループ◆定着率97％◆─,《学歴不問・第二新卒の方も歓迎》成長産業を支える醍醐味を味わいたい方◆業界経験は問いません◆プライベートも充実させたい方、歓迎,350万円～500万円
38,STARTEK | #完全週休二日制 #服装＆髪型自由 #WEB面接実施中 #残業ほぼなし,【新卒・第二新卒OK！準ビジネスレベル以上の英語スキルのある方】◆40歳まで(※)◆PCの基本スキル◆高卒以上◆8月9日入社が可能な方,
39,株式会社EPファーマライン | EPSホールディングスグループ,【未経験歓迎/20代・30代活躍中/医療業界の経験不問】◎人材業界・採用業務の経験者はより歓迎 ◎人材営業等からのキャリアチェンジも可能！,350万円～600万円
40,株式会社ISS | ★未経験・経験者とも歓迎★設立以来13期連続黒字★年1回9連休,◆未経験者・経験者（開発・インフラ／年数・フェーズ不問）とも歓迎◆学歴不問,250万円～700万円
41,エヌ・ティ・ティ・インフラネット株式会社 | 土日祝休み／年間休日140日／有給100％取得／残業月平均16時間,【若手～ベテランまで活躍中】◆応募資格：（1）高卒以上（2）要普免／AT限定可（3）土木または電気通信関連の有資格者or同等の実務経験をお持ちの方,300万円～550万円
42,株式会社アウトソーシングテクノロジー | メディアでも話題の注目企業／産育休100％／長く働けるPRODESK,＜人をサポートすることに興味ある方歓迎！＞◆基本的なPCスキルをお持ちの方◆未経験から始めて、少しずつ仕事の幅を広げられます！,280万円～500万円
43,株式会社西條設計コンサルタント | 年間休日121日(土日祝)/各種手当充実/残業平均月7時間！,"【20代～ベテランまで活躍中！】◎土木設計の実務経験のある方【経験10年以上の方は優遇】★RCCM,技術士,農業土木技術管理士をお持ちの方は歓迎",300万円～600万円
44,株式会社アビリティ | 稼働率100％☆年休125日☆経験豊富な方は月給40万円STARTも可能,☆経験者採用☆【ジャンル・フェーズ不問】◆開発経験 OR インフラ構築経験（2年以上）◆ブランクがある方もOK★組織創りや教育担当にも携われます！,450万円～1000万円
45,株式会社クレディセゾン | 【東証一部上場】テレワーク/フルフレックス/賞与年平均6.5ヶ月,＜エンタープライズ系・ベンチャー系いずれの出身者も活躍中＞◎プログラマーの経験ある方（開発・インフラ不問）★Slack等で意見交換も活発！,600万円～1000万円
46,株式会社アスページ | ★定着率92％★年1回海外or国内旅行★年休123日★20名採用,【学歴不問／経験者・未経験者とも歓迎！】★経験者の方／開発・運用・保守等何らかの経験をお持ちの方（年数不問）★実務未経験者もＯＫ！,250万円～750万円
47,パーソルテンプスタッフ株式会社 | 大阪府緊急雇用対策に賛同/賞与年2回★研修充実★在宅ワークあり,【高卒以上◆事務へのキャリアチェンジを応援】未経験OK！旅行・飲食・ホテル・フィットネス、販売・受付から事務デビューした先輩多数♪,250万円～350万円
48,タイズ株式会社 | 前年比222％成長中！年休125日／残業ほぼ0／資格取得支援制度有,★学歴不問・第二新卒の方も大歓迎★先々まで活かせるたしかなスキルを身につけたい方、このタイミングで“手に職”をつけたい方をお迎えします★,240万円～450万円
49,株式会社ナガワ | 賞与5.5か月分/年休125日以上/手当充実/反響＆ルート営業,【未経験から知識を身に着けることができます！/全国80拠点で50名以上の積極採用！】高卒以上◆要免許（AT可）,350万円～800万円
